Title,Address,Rent,URL
River & City Views~~Flooding SunLight~~~Wall Of Windows~~March Move In, (Financial District),"$4,715",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-river-city-viewsflooding/7321733058.html
RENO 3BR/2BA w/BALCONIES >LARGE LIVINGROOM -NO FEE, (Lower East Side),"$4,945",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-reno-3br-2ba-balconies-large/7321513340.html
FANTASTIC BRAND NEW 3BR 2BATH RENT STABILIZED APT W/D INSIDE! ELEVATOR, (Harlem / Morningside),"$2,650",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-fantastic-brand-new-3br-2bath/7321372767.html
HUGE  3-BR /2 BA | FREE UTILITIES & FREE WIFI - SEE FLOORPLAN, (East Village),"$5,200",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-huge-br-ba-free-utilities-free/7321199147.html
3BD - 2BA - Spacious Landmark Duplex with Spa - No Fee, (Washington Heights),"$4,495",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-3bd-2ba-spacious-landmark/7321154165.html
"SUN DRENCHED, NEWLY RENOVATED, SPACIOUS, LUXURY APARTMENT", (Financial District),"$4,922",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-sun-drenched-newly-renovated/7321124579.html
NO FEE HUGE 3 bed2 bath with a huge private terrace and w/d in unit, (Midtown West),"$9,334",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-no-fee-huge-bed2-bath-with/7321086632.html
Massive Luxury XL Conv 3BD/2BA w/ Top Tier Amenities!, (Upper East Side),"$6,395",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-massive-luxury-xl-conv-3bd-2ba/7321072850.html
"*STYLISH SHINING WHITE ""1 BR."" / 2 BTH. / WASHER & DRYER / WEST 96 ST.", (Upper West Side),"$4,350",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-stylish-shining-white-br-bth/7321072242.html
"BEAUTIFUL, SUNNY, LG 3 BR, 2 BATH, W/D, D/W, PETS -W low 100's/off WEA", (Upper West Side),"$3,995",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-beautiful-sunny-lg-br-bath-d-w/7320976489.html
"E31 Street/Lexington Ave,3br,2bath,PRIME LOCATION,ELEVATOR/LAUNDRY BLD", (Murray Hill),"$4,600",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-e31-street-lexington/7320506883.html
FANTASTIC BRAND NEW 3BR 2BATH RENT STABILIZED APT W/D INSIDE! ELEVATOR, (Harlem / Morningside),"$2,650",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-fantastic-brand-new-3br-2bath/7320339881.html
⎝ Views + LUXURY 3 BR/2 BA*Pool+Sundeck+Gym*+1 mth FREE, (Hudson Yards/ Penn Station / Chelsea / NoMad),"$8,628",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-views-luxury-br/7320239866.html
"⎝NO FEE! DOWNTOWN PREWAR LUXURY PENTHOUSE 3 BR*DECK,GYM*+1 MONTH FREE", (Downtown/ Financial District/ FiDi),"$13,938",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-no-fee-downtown-prewar-luxury/7320222137.html
"*NEW 5/14!*SPACIOUS FLEX 3!*DRMN,GYM,SUNDECK,PRIME TRIBECA LOC,NO FEE!", (TriBeCa),"$5,000",http://sfbay.craigslist.orghttps://newyork.craigslist.org/mnh/apa/d/new-york-new-14spacious-flex/7320220640.html
